ligand	receptor	ligand.name	receptor.name	ligand.synonyms	receptor.synonyms	ligand.altern.names	receptor.altern.names	source	PMIDs	cells.L	cells.R	remarks
ADAM15	ITGA5	Disintegrin and metalloproteinase domain-containing protein 15	Integrin alpha-5	MDC15	FNRA	ADAM 15 || EC 3.4.24.- || Metalloprotease RGD disintegrin protein || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 || MDC-15 || Metargidin	CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain	fantom5,HPMR	9914169,952	""	""	""
ADAM15	ITGA9	Disintegrin and metalloproteinase domain-containing protein 15	Integrin alpha-9	MDC15	""	ADAM 15 || EC 3.4.24.- || Metalloprotease RGD disintegrin protein || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 || MDC-15 || Metargidin	Integrin alpha-RLC	fantom5,HPMR	10944520	""	""	""
ADAM15	ITGAV	Disintegrin and metalloproteinase domain-containing protein 15	Integrin alpha-V	MDC15	MSK8,VNRA,VTNR	ADAM 15 || EC 3.4.24.- || Metalloprotease RGD disintegrin protein || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 || MDC-15 || Metargidin	Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain	fantom5	9914169	""	""	""
ADAM15	ITGB1	Disintegrin and metalloproteinase domain-containing protein 15	Integrin beta-1	MDC15	FNRB,MDF2,MSK12	ADAM 15 || EC 3.4.24.- || Metalloprotease RGD disintegrin protein || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 || MDC-15 || Metargidin	Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29	HPMR,fantom5	9914169,109	""	""	""
ADAM15	ITGB3	Disintegrin and metalloproteinase domain-containing protein 15	Integrin beta-3	MDC15	GP3A	ADAM 15 || EC 3.4.24.- || Metalloprotease RGD disintegrin protein || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 || MDC-15 || Metargidin	Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61	fantom5,HPMR	9516430	""	""	""
ADAM17	ERBB4	Disintegrin and metalloproteinase domain-containing protein 17	Receptor tyrosine-protein kinase erbB-4	CSVP,TACE	HER4	ADAM 17 || EC 3.4.24.86 || Snake venom-like protease || TNF-alpha convertase || TNF-alpha-converting enzyme || CD antigen CD156b	EC 2.7.10.1 || Proto-oncogene-like protein c-ErbB-4 || Tyrosine kinase-type cell surface receptor HER4 || p180erbB4) [Cleaved into: ERBB4 intracellular domai || 4ICD || E4ICD || s80HER4)	fantom5,HPRD	15534001	""	""	""
ADAM17	ITGA5	Disintegrin and metalloproteinase domain-containing protein 17	Integrin alpha-5	CSVP,TACE	FNRA	ADAM 17 || EC 3.4.24.86 || Snake venom-like protease || TNF-alpha convertase || TNF-alpha-converting enzyme || CD antigen CD156b	CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain	HPMR,fantom5	14970227	""	""	""
ADAM17	ITGB1	Disintegrin and metalloproteinase domain-containing protein 17	Integrin beta-1	CSVP,TACE	FNRB,MDF2,MSK12	ADAM 17 || EC 3.4.24.86 || Snake venom-like protease || TNF-alpha convertase || TNF-alpha-converting enzyme || CD antigen CD156b	Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29	HPMR,fantom5	14970227	""	""	""
ADAM17	NOTCH1	Disintegrin and metalloproteinase domain-containing protein 17	Neurogenic locus notch homolog protein 1	CSVP,TACE	TAN1	ADAM 17 || EC 3.4.24.86 || Snake venom-like protease || TNF-alpha convertase || TNF-alpha-converting enzyme || CD antigen CD156b	Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD)	HPRD,fantom5	10882063,96	""	""	""
ADAM23	ITGA5	Disintegrin and metalloproteinase domain-containing protein 23	Integrin alpha-5	MDC3	FNRA	ADAM 23 || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3 || MDC-3	CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain	fantom5,HPMR	10749942	""	""	""
ADAM23	ITGB3	Disintegrin and metalloproteinase domain-containing protein 23	Integrin beta-3	MDC3	GP3A	ADAM 23 || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3 || MDC-3	Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61	fantom5,HPMR	10749942	""	""	""
ADAM28	ITGA4	Disintegrin and metalloproteinase domain-containing protein 28	Integrin alpha-4	ADAM23,MDCL	CD49D	ADAM 28 || EC 3.4.24.- || Epididymal metalloproteinase-like, disintegrin-like, and cysteine-rich protein II || eMDC II || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein L || MDC-L	CD49 antigen-like family member D || Integrin alpha-IV || VLA-4 subunit alpha || CD antigen CD49d	fantom5,HPRD	11724793	""	""	""
ADAM2	CD9	Disintegrin and metalloproteinase domain-containing protein 2	CD9 antigen	FTNB	MIC3,TSPAN29,GIG2	ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta	5H9 antigen || Cell growth-inhibiting gene 2 protein || Leukocyte antigen MIC3 || Motility-related protein || MRP-1 || Tetraspanin-29 || Tspan-29 || p24 || CD antigen CD9	fantom5,HPRD	10518536	""	""	""
ADAM2	ITGA6	Disintegrin and metalloproteinase domain-containing protein 2	Integrin alpha-6	FTNB	""	ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta	CD49 antigen-like family member F || VLA-6 || CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha- || Alpha6p)	fantom5,HPMR	9889149	""	""	""
ADAM2	ITGA9	Disintegrin and metalloproteinase domain-containing protein 2	Integrin alpha-9	FTNB	""	ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta	Integrin alpha-RLC	fantom5	21060781	""	""	""
ADAM2	ITGB1	Disintegrin and metalloproteinase domain-containing protein 2	Integrin beta-1	FTNB	FNRB,MDF2,MSK12	ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta	Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29	HPMR,fantom5	9889149	""	""	""
ADAM2	ITGB7	Disintegrin and metalloproteinase domain-containing protein 2	Integrin beta-7	FTNB	""	ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta	Gut homing receptor beta subunit	fantom5	21060781	""	""	""
ADAM9	ITGA3	Disintegrin and metalloproteinase domain-containing protein 9	Integrin alpha-3	KIAA0021,MCMP,MDC9,MLTNG	MSK18	ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase	CD49 antigen-like family member C || FRP-2 || Galactoprotein B3 || GAPB3 || VLA-3 subunit alpha || CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain	HPRD,fantom5	15361064	""	""	""
ADAM9	ITGA6	Disintegrin and metalloproteinase domain-containing protein 9	Integrin alpha-6	KIAA0021,MCMP,MDC9,MLTNG	""	ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase	CD49 antigen-like family member F || VLA-6 || CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha- || Alpha6p)	HPMR,fantom5,HPRD	10825303,15	""	""	""
ADAM9	ITGAV	Disintegrin and metalloproteinase domain-containing protein 9	Integrin alpha-V	KIAA0021,MCMP,MDC9,MLTNG	MSK8,VNRA,VTNR	ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase	Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain	HPRD,HPMR,fantom5	11162558,15	""	""	""
ADAM9	ITGB1	Disintegrin and metalloproteinase domain-containing protein 9	Integrin beta-1	KIAA0021,MCMP,MDC9,MLTNG	FNRB,MDF2,MSK12	ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase	Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29	fantom5,HPMR	10825303	""	""	""
ADAM9	ITGB5	Disintegrin and metalloproteinase domain-containing protein 9	Integrin beta-5	KIAA0021,MCMP,MDC9,MLTNG	""	ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase	""	HPMR,fantom5	11162558	""	""	""
ADCYAP1	ADCYAP1R1	Pituitary adenylate cyclase-activating polypeptide	Pituitary adenylate cyclase-activating polypeptide type I receptor	""	""	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	PACAP type I receptor || PACAP-R-1 || PACAP-R1	HPRD,reactome,fantom5,IUPHAR,HPMR	10100920,8703026,10583729,16930633,11931347,8253796	""	""	""
ADCYAP1	ADRB2	Pituitary adenylate cyclase-activating polypeptide	Beta-2 adrenergic receptor	""	ADRB2R,B2AR	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	Beta-2 adrenoreceptor || Beta-2 adrenoceptor	reactome	""	""	""	""
ADCYAP1	ADRB3	Pituitary adenylate cyclase-activating polypeptide	Beta-3 adrenergic receptor	""	ADRB3R,B3AR	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	Beta-3 adrenoreceptor || Beta-3 adrenoceptor	reactome	""	""	""	""
ADCYAP1	GPR20	Pituitary adenylate cyclase-activating polypeptide	G-protein coupled receptor 20	""	""	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	""	reactome	""	""	""	""
ADCYAP1	GPR84	Pituitary adenylate cyclase-activating polypeptide	G-protein coupled receptor 84	""	EX33	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	Inflammation-related G-protein coupled receptor EX33	reactome	""	""	""	""
ADCYAP1	PTH1R	Pituitary adenylate cyclase-activating polypeptide	Parathyroid hormone/parathyroid hormone-related peptide receptor	""	PTHR,PTHR1	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	PTH/PTHrP type I receptor || PTH/PTHr receptor || Parathyroid hormone 1 receptor || PTH1 receptor	reactome	""	""	""	""
ADCYAP1	RAMP2	Pituitary adenylate cyclase-activating polypeptide	Receptor activity-modifying protein 2	""	""	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	Calcitonin-receptor-like receptor activity-modifying protein 2 || CRLR activity-modifying protein 2	reactome	""	""	""	""
ADCYAP1	RAMP3	Pituitary adenylate cyclase-activating polypeptide	Receptor activity-modifying protein 3	""	""	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	Calcitonin-receptor-like receptor activity-modifying protein 3 || CRLR activity-modifying protein 3	reactome	""	""	""	""
ADCYAP1	SCTR	Pituitary adenylate cyclase-activating polypeptide	Secretin receptor	""	""	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	SCT-R	HPRD,fantom5	1335692	""	""	""
ADCYAP1	TSHR	Pituitary adenylate cyclase-activating polypeptide	Thyrotropin receptor	""	LGR3	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	Thyroid-stimulating hormone receptor || TSH-R	reactome	""	""	""	""
ADCYAP1	VIPR1	Pituitary adenylate cyclase-activating polypeptide	Vasoactive intestinal polypeptide receptor 1	""	""	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	VIP-R-1 || Pituitary adenylate cyclase-activating polypeptide type II receptor || PACAP type II receptor || PACAP-R-2 || PACAP-R2 || VPAC1	reactome,HPRD,HPMR,IUPHAR,fantom5	11897681,9928018,11931347,16930633,8791009,12429744	""	""	""
ADCYAP1	VIPR2	Pituitary adenylate cyclase-activating polypeptide	Vasoactive intestinal polypeptide receptor 2	""	VIP2R	PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38)	VIP-R-2 || Helodermin-preferring VIP receptor || Pituitary adenylate cyclase-activating polypeptide type III receptor || PACAP type III receptor || PACAP-R-3 || PACAP-R3 || VPAC2	HPRD,fantom5,IUPHAR	16930633,11978642,9928018,11931347,8146174	""	""	""
ADIPOQ	ADIPOR1	Adiponectin	Adiponectin receptor protein 1	ACDC,ACRP30,APM1,GBP28	PAQR1,TESBP1A,CGI-45	30 kDa adipocyte complement-related protein || Adipocyte complement-related 30 kDa protein || ACRP30 || Adipocyte, C1q and collagen domain-containing protein || Adipose most abundant gene transcript 1 protein || apM-1 || Gelatin-binding protein	Progestin and adipoQ receptor family member 1 || Progestin and adipoQ receptor family member I	HPMR,fantom5	12802337	""	""	""
ADIPOQ	ADIPOR2	Adiponectin	Adiponectin receptor protein 2	ACDC,ACRP30,APM1,GBP28	PAQR2	30 kDa adipocyte complement-related protein || Adipocyte complement-related 30 kDa protein || ACRP30 || Adipocyte, C1q and collagen domain-containing protein || Adipose most abundant gene transcript 1 protein || apM-1 || Gelatin-binding protein	Progestin and adipoQ receptor family member 2 || Progestin and adipoQ receptor family member II	HPRD,fantom5,HPMR	12802337	""	""	""
ADM2	ADCYAP1R1	Adrenomedullin 2	Pituitary adenylate cyclase-activating polypeptide type I receptor	AM2	""	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	PACAP type I receptor || PACAP-R-1 || PACAP-R1	reactome	""	""	""	""
ADM2	ADRB2	Adrenomedullin 2	Beta-2 adrenergic receptor	AM2	ADRB2R,B2AR	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	Beta-2 adrenoreceptor || Beta-2 adrenoceptor	reactome	""	""	""	""
ADM2	ADRB3	Adrenomedullin 2	Beta-3 adrenergic receptor	AM2	ADRB3R,B3AR	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	Beta-3 adrenoreceptor || Beta-3 adrenoceptor	reactome	""	""	""	""
ADM2	CALCR	Adrenomedullin 2	Calcitonin receptor	AM2	""	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	CT-R	fantom5,IUPHAR	15692146	""	""	""
ADM2	CALCRL	Adrenomedullin 2	Calcitonin gene-related peptide type 1 receptor	AM2	CGRPR	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	CGRP type 1 receptor || Calcitonin receptor-like receptor	fantom5,HPMR	14615490	""	""	""
ADM2	GPR20	Adrenomedullin 2	G-protein coupled receptor 20	AM2	""	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	""	reactome	""	""	""	""
ADM2	GPR84	Adrenomedullin 2	G-protein coupled receptor 84	AM2	EX33	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	Inflammation-related G-protein coupled receptor EX33	reactome	""	""	""	""
ADM2	PTH1R	Adrenomedullin 2	Parathyroid hormone/parathyroid hormone-related peptide receptor	AM2	PTHR,PTHR1	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	PTH/PTHrP type I receptor || PTH/PTHr receptor || Parathyroid hormone 1 receptor || PTH1 receptor	reactome	""	""	""	""
ADM2	RAMP1	Adrenomedullin 2	Receptor activity-modifying protein 1	AM2	""	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	Calcitonin-receptor-like receptor activity-modifying protein 1 || CRLR activity-modifying protein 1	HPMR,fantom5	12684503	""	""	""
ADM2	RAMP2	Adrenomedullin 2	Receptor activity-modifying protein 2	AM2	""	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	Calcitonin-receptor-like receptor activity-modifying protein 2 || CRLR activity-modifying protein 2	reactome	""	""	""	""
ADM2	RAMP3	Adrenomedullin 2	Receptor activity-modifying protein 3	AM2	""	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	Calcitonin-receptor-like receptor activity-modifying protein 3 || CRLR activity-modifying protein 3	reactome	""	""	""	""
ADM2	TSHR	Adrenomedullin 2	Thyrotropin receptor	AM2	LGR3	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	Thyroid-stimulating hormone receptor || TSH-R	reactome	""	""	""	""
ADM2	VIPR1	Adrenomedullin 2	Vasoactive intestinal polypeptide receptor 1	AM2	""	Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS)	VIP-R-1 || Pituitary adenylate cyclase-activating polypeptide type II receptor || PACAP type II receptor || PACAP-R-2 || PACAP-R2 || VPAC1	reactome	""	""	""	""
ADM	ADCYAP1R1	ADM [Cleaved into: Adrenomedullin	Pituitary adenylate cyclase-activating polypeptide type I receptor	AM	""	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	PACAP type I receptor || PACAP-R-1 || PACAP-R1	reactome	""	""	""	""
ADM	ADRB2	ADM [Cleaved into: Adrenomedullin	Beta-2 adrenergic receptor	AM	ADRB2R,B2AR	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	Beta-2 adrenoreceptor || Beta-2 adrenoceptor	reactome	""	""	""	""
ADM	ADRB3	ADM [Cleaved into: Adrenomedullin	Beta-3 adrenergic receptor	AM	ADRB3R,B3AR	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	Beta-3 adrenoreceptor || Beta-3 adrenoceptor	reactome	""	""	""	""
ADM	CALCR	ADM [Cleaved into: Adrenomedullin	Calcitonin receptor	AM	""	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	CT-R	IUPHAR,fantom5	15692146,13	""	""	""
ADM	CALCRL	ADM [Cleaved into: Adrenomedullin	Calcitonin gene-related peptide type 1 receptor	AM	CGRPR	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	CGRP type 1 receptor || Calcitonin receptor-like receptor	HPMR,fantom5,HPRD	9620797	""	""	""
ADM	GPR182	ADM [Cleaved into: Adrenomedullin	G-protein coupled receptor 182	AM	ADMR	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	""	fantom5,HPMR	7592696	""	""	""
ADM	GPR20	ADM [Cleaved into: Adrenomedullin	G-protein coupled receptor 20	AM	""	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	""	reactome	""	""	""	""
ADM	GPR84	ADM [Cleaved into: Adrenomedullin	G-protein coupled receptor 84	AM	EX33	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	Inflammation-related G-protein coupled receptor EX33	reactome	""	""	""	""
ADM	MRGPRX2	ADM [Cleaved into: Adrenomedullin	Mas-related G-protein coupled receptor member X2	AM	MRGX2	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	""	HPMR,IUPHAR,fantom5	16111673,16	""	""	""
ADM	PTH1R	ADM [Cleaved into: Adrenomedullin	Parathyroid hormone/parathyroid hormone-related peptide receptor	AM	PTHR,PTHR1	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	PTH/PTHrP type I receptor || PTH/PTHr receptor || Parathyroid hormone 1 receptor || PTH1 receptor	reactome	""	""	""	""
ADM	RAMP2	ADM [Cleaved into: Adrenomedullin	Receptor activity-modifying protein 2	AM	""	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	Calcitonin-receptor-like receptor activity-modifying protein 2 || CRLR activity-modifying protein 2	HPMR,fantom5,reactome	9620797	""	""	""
ADM	RAMP3	ADM [Cleaved into: Adrenomedullin	Receptor activity-modifying protein 3	AM	""	AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20)	Calcitonin-receptor-like receptor activity-modifying protein 3 || CRLR activity-modifying protein 3	reactome	""	""	""	""
